post_id,text,likes,comments,reposts,views,attachments
2999033,"СЕМЕЙНАЯ ЖИЗНЬ РОБЕРТА ПАТТИНСОНА И СЬЮКИ УОТЕРХАУС.

В начале этого года актёр и певица впервые стали родителями, и как сообщает пресса, звёзды отлично справляются со своими обязанностями.

Пара старается всегда проводить время с дочерью и работать по очереди. Семья любит путешествовать и уже берёт с собой свою малышку.

Ранее СМИ сообщали, что Паттинсон и Уотерхаус не собираются останавливаться на одном ребёнке.",296,3,12,25472,"['photo', 'photo']"
2999021,"МАРГО РОББИ СТАЛА МАМОЙ?

Сейчас фанаты актрисы активно обсуждают новое фото её мужа Тома Акерли, на котором он шёл с довольно большой коробкой подгузников.

Люди считают, что пара уже стала родителями, но пока не хочет официально сообщать новость миру, оставив это событие только для себя.

Теперь будет ждать подтверждения от самих Марго и Тома.",302,6,8,31931,"['photo', 'photo']"
2999000,"Софи Тернер и Люси Бойнтон ГЛАВНЫЕ ПРЕТЕНДЕНТКИ НА РОЛЬ ЛАРЫ КРОФТ.

Грядет очередной перезапуск по мотивам популярной видеоигры Tomb Raider, но на этот раз в формате сериала от Amazon MGM Studios.

Ранее на большом экране роль Лары воплотили Анджелина Джоли в 2001-м году и Алисия Викандер в 2018-м.",252,22,42,34992,['photo']
2998975,"Преображение Сидни Суини для новой роли.

Ранее сообщалось, что 27-летняя актриса исполнит роль легендарной боксёрши Кристи Мартин, которую разместили в Зале боксерской славы Невады и Международном зале боксерской славы. 

Очень интересно увидеть, что это будет за фильм по итогу, ведь от Сидни подобную роль ждали многие.",702,15,123,70488,"['photo', 'photo']"
2998952,"«ХОЧУ ТР*ХНУТЬ СЕЛЕНУ ГОМЕС В РОТ», - Бенни Бланко опубликовал трэк рэпера, унижавшего Селену.

На днях возлюбленный Селены Гомес опубликовал в своих соцсетях песню рэпера Tyler, The Creator. Сразу после публикации поклонники певицы возмутились тому, что Бенни поддержал человека, который писал отвратительные вещи про певицу.

Однако, многие также встали и на защиту Бланко, говоря, что он не должен как-либо отслеживать старые публикации никаких музыкантов, чьи песни в моменте могли ему понравиться.

Сам же Tyler, The Creator, к слову, несколько лет назад извинился перед Селеной за свои слова, но интернетпользователи не собираются забывать подобное.",166,10,51,44098,"['photo', 'photo', 'photo']"
2998934,"Кайли Дженнер в образе героини Барбареллы в преддверии Хэллоуина.

Миллионерша каждый год примеряет на себя множество разных образов в честь празднования Хэллоуина. В этом году Дженнер перевоплотилась в героиню Галактики Барбареллу из научно-фантастического фильма 1968 года».",1188,11,67,76554,"['photo', 'photo', 'photo']"
2998878,"Джейкоб Элорди был признан «самым сексуальным мужчиной-сердцеедом».

Часть 2. По опросу издания People актёр победил в категории «Самый сексуальный новый сердцеед», обойдя в ней Николаса Голицына, Гэвина Касаленьо и Мэнни Хасинто.

Похоже, на это повлиял фильм «Солтберн» с Джейкобом в главной роли.",281,10,112,40680,"['photo', 'photo']"
2998831,"Роберт Паттинсон был назван «самым сексуальным новоиспечённым отцом», обойдя Джастина Бибера.

Часть1. Издание People опубликовало список самых сексуальных мужчин по версии их читателей. Так Роберта Паттинсона признали самым сексуальным отцом.

Актёр обошел в этой категории Джастина Бибера, Малуму и Коула Такера.",438,16,84,55164,"['photo', 'photo']"
2998814,"ЧЕННИНГ ТАТУМ И ЗОИ КРАВИЦ РАЗОРВАЛИ ПОМОЛВКУ.

По сообщениям таблоидов одна из самых атмосферных парочек Голливуда рассталась после трёх лет отношений. Также Зои Кравиц заметили без кольца, что толькоподтвердило эти новости.

В прошлом году Ченнинг сделал предложение Зои, и пара готовилась к свадьбе.",359,5,111,43218,"['photo', 'photo', 'photo', 'photo', 'photo']"
2998740,"Селену Гомес вновь захейтили в сети из-за её фигуры.

После премьеры продолжения сериала «Волшебники из Вэйверли Плэйс» в сети вновь подняли тему обсуждения фигуры 32-летней Селены Гомес. 

Многие пишут негативные комментарии в адрес певицы, перенесшей операцию по пересадке почки, называя её толстой и непропорциональной, а также говоря, что Гомес нельзя носить такого рода платья.

Кто-то также начал некрасиво шутить на тему того, что Селена беременна. И здесь стоит напомнить, что она буквально в конце лета в интервью рассказала о том, что не сможет выносить ребёнка, из-за чего или прибегнет к суррогатному материнству, или решится взять ребёнка из детского дома.",966,173,349,137780,"['photo', 'video']"
